Name	Set	ImageFile	Rarity	Race	Type	Traits	Cost	Tech Req	Cosmic	Combat	Life	Influence	Guns	Shields	Power	Resources Produced	Structure	Tech Value	Text
Research Facility	Prime	Research_Facility	F		Support	"Fixed, Installation"	3	5	2										+1 Tech
Resourceful Planning	Prime	Resourceful_Planning	R		Advantage														Limited End:  issue 3 commands to gain +1 tech
Revenge	Prime	Revenge	F		Tactical		2		1										React: play as ship or hero terminated/recycled.  Others get +2/-1 combat until end of turn
Rise of the Populace	Prime	Rise_of_the_Populace	U		Tactical	Propaganda	5		1										need to pay +3 resources to actually conquer planet (structure sets to 1)
Rupert Einstein	Prime	Rupert_Einstein	F	H	Hero	"Human, Scientist, Unique"	5		4	0	2	1							End: pay 4 Resources to gain +1 Tech
Sabotage	Prime	Sabotage	C		Tactical		1		0										Spy location-target Ship inflicts Gun damage on itself minus 1 (minimum 1)
Saboteur	Prime	Saboteur	C		Hero	"Human, Spy"	3		1	1	2	0							inflict 1 Piercing damage on target ship at Saboteur's location
Sacrifice	Prime	Sacrifice	C		Tactical		0		0										spend 1 energy for other ship to take damage instead
Salvage Ship	Prime	Salvage_Ship	U		Ship	Move 1	3	4	4				0	2	2		2		Move:1-gain ships printed structre -1 (minimum 0) if in own star system
Saul Hernandez	Prime	Saul_Hernandez	R	H	Hero	"Admiral, Human, Military, Unique"	5		3	3	3	3							ships in fleet have +1/+0 combat unless another Admiral is in the same fleet
Science Revolution	Prime	Science_Revolution	F		Advantage														once per turn tech requirement is lowered by 1 (minimum 0)
Science Ship	Prime	Science_Ship	F		Ship	"Explore 0, Move 2"	3	1	0				0	2	2		2		"Move:2 outside own star system, gain +1 tech. Main, gain +1 tech (outside own star system)"
Science Station	Prime	Science_Station	C		Ship	Move 0	4	6	1				0	3	2		4		Move: 0-pay 2 resources to search for Explore/Scientist card-issue Command and pay cost to deploy
Scorched World	Prime	Scorched_World	F		Planet	"Gaseous, Restricted"	2		1							1	4	2	
Secret Agenda	Prime	Secret_Agenda	C		Tactical		0		4										gain +3 Tech if at least one of own planets conquered and opponents have tech >= 2 more than yours
Secret Mine	Prime	Secret_Mine	C		Support	"Fixed, Installation"	3		4							1			
Secrets of the Ancients	Prime	Secrets_of_the_Ancients	R		Tactical		*	1	0										Main: pay resource cost of non-homeworld planet to reset exploration points (including own system). Planet can't have remaining exploration points
Sensor Problem	Prime	Sensor_Problem	C		Tactical		0		2										Spy prevents ship from moving next turn
Sensor Trick	Prime	Sensor_Trick	U	M	Tactical	Military	0	8	4										prevent all of initial damage in combat
Sgt. Beat	Prime	Sgt_Beat	F	H	Hero	"Human, Military"	0		2	1	1	1							command not needed to deploy Sgt. Beat
Shackled	Prime	Shackled	C		Tactical		*		0										Pay resources = target's influence to place Hero out of play. Owner must pay Influence + 1 to return to play
Shamed	Prime	Shamed	U		Fate														turn all target player's heroes until next turn's reset phase
Shield Disruption Generator	Prime	Shield_Disruption_Generator	C		Support	Installation	3	4	2										ships not controlled at Planet location have -0/-1 combat (minimum 0/1)
Shield Disruptor	Prime	Shield_Disruptor	C		Support	"Retrofit, Weapon"	3	5	0										target ship at locaton -0/-1 until end of turn (0/1 minimum)
Shield Enhancer	Prime	Shield_Enhancer	C		Support	"Retrofit, Weapon"	3	5	0										give subject ship +0/+1 until end of combat turn
Simon Christiansen	Prime	Simon_Christiansen	F	H	Hero	"Diplomat, Human, Unique"	8		4	0	5	7							"deploys at any planet.  Attach The Book 0 cost, at non-Homeworld, location can't be targeted"
Skimmer	Prime	Skimmer	C	H	Ship	"Fighter, Human, Military, Move 2"	2		4				1	1	2		3		Move:2
Slipstream	Prime	Slipstream	C		Tactical		0	5	2										"React: if ships move adjacent to Firestorm, move target ship you control to that location."
Snub Fighter	Prime	Snub_Fighter	F	D	Ship	"Dysori, Fighter, Military, Move 2, Sync"	3	2	2				3	2	2		2		"Sync, Move:2"
Sorvina Tridius	Prime	Sorvina_Tridius	U		Hero	"Dysori, Mercenary"	5		3	2	3	4							deploy at any planet-can do damage to others at same cost to self
Sorvius I	Prime	Sorvius_I	F		Planet	"Forest, Restricted"	5		4							2	5	3	Muero player can't choose as starting planet.  Opponents can deploy heroes
Stick in the Wheel	Prime	Stick_in_the_Wheel	U		Fate														recycle target support card
Stolen Artifacts	Prime	Stolen_Artifacts	U		Tactical		6		2										Main: target loses Tech equal to top card's Cosmic Value (minimum of starting Tech)
Stolen Technology	Prime	Stolen_Technology	U		Advantage														deploy support and ship cards of other races  at +4 tech requirements.
Sudden Strike	Prime	Sudden_Strike	R		Tactical	Military	1	6	0										Combat React: target spends 1 Energy to prevent Cosmic Value worth of damage
Super Heated	Prime	Super_Heated	C		Fate		0												Ships moving into Firestorm until end of next turn take +1 Piercing damage
Sweet Talker	Prime	Sweet_Talker	C		Tactical	Propaganda	0		2										Hero gets +2 influence until end of turn
Tactical Bomb	Prime	Tactical_Bomb	U		Support	"Gear, Weapon"	4		0										"after third reset phase, inflict 3 piercing damage to subject planet"
Take Charge	Prime	Take_Charge	F		Fate														"during next turn, gain +2 maximum commands"
Tech Saboteur	Prime	Tech_Saboteur	U		Tactical		4		0										reduce tech by -1 (to minimum of starting tech)
Terraform Company	Prime	Terraform_Company	C		Support	"Fixed, Installation"	3	4	0							1	1		
The Ancient One	Prime	The_Ancient_One	F		Hero	"Diplomat, Oracle"	4		1	0	1	3							deployed at any planet.  Pay 3 resources to choose 2 random cards from opponent. Look and recycle 1.
The Book	Prime	The_Book	F	H	Support	"Gear, Unique"	6		4										"Limited Main: CV > target influence, gain control of Hero at that location"
The Head of K'vaan	Prime	The_Head_of_K'vaan	F	M	Support	"Gear, Muero, Unique"	4		4	1	1	1							"subject hereo can't be targeted by cards, game effects, or attacks"
The Seer	Prime	The_Seer	F	S	Hero	"Oracle, Unique"	4		4	0	2	3							"non-Soven may deploy for +2 resources, look at top draw card, place at top, bottom, or recycle"
Think Tank	Prime	Think_Tank	R		Fate														gain +1 Tech
Titanium Hull	Prime	Titanium_Hull	F		Support	"Fixed, Retrofit"	2	5	4										adds 3 to structure
Training	Prime	Training	C		Tactical		1		2										"Target Hero gets +1 to one of combat, life, influence"
Transfer Information	Prime	Transfer_Information	C		Tactical	Propaganda	1		4										target player discards card at random from hand
Trin'yak	Prime	Trin'yak	F	S	Hero	"Scientist, Soven"	3		3	0	2	2							Main: remove 1 damage point from planet at location
Trohh Grozz	Prime	Trohh_Grozz	F	M	Hero	"Assassin, Muero, Restricted, Spy"	4		4	2	3	1							+2 damage in Hero Combat.  React: opponent card +1 resource if at uncontrolled planet
Veross Agent	Prime	Veross_Agent	U		Hero	"Restricted, Spy, Veross"	3		2	1	2	2							"Main: terminate to deploy ship, hero, support card of another race at normal cost"
War	Prime	War	R	H	Ship	"Battleship, Human, Military, Move 2, Unique"	11	6	4				4	3	3		7		Move: 2
War Effort	Prime	War_Effort	R		Fate														"until end of next turn, players may play Military cards for -1 resource (minimum 0)"
War Hero	Prime	War_Hero	C		Tactical		2		1										Hero gains Military trait
War of Words	Prime	War_of_Words	F		Fate														"React: until end of next turn, diplomats can cancel attacks"
Weapon Charger	Prime	Weapon_Charger	C		Support	"Retrofit, Weapon"	3	5	0										ship gains +1/+0 combat until end of turn
Weapons Test Facility	Prime	Weapons_Test_Facility	U		Support	"Installation, Restricted"	4	5	1							1			weapons controlled and subjects inflict +1 damage
Will of the Primaag	Prime	Will_of_the_Primaag	F	M	Fate														Combat: sacrifice ships to inflict printed Structure damage on all ships in opposing fleet
Wrath	Prime	Wrath	U		Support	"Gear, Voicing"	3		1										"inflict Influence of damage to target ship, planet, hero"
Xelmon Gardens	Prime	Xelmon_Gardens	F	S	Support	"Installation, Unique"	4	5	2							1			"only 1 copy in deck.  When subject planet conquered, next ship attack does double damage"
Xermal	Prime	Xermal	U	S	Hero	"Military, Soven"	6		1	3	3	3							Combat-opposing ships -1/-0 (minimum 0/1) until end of combat
Year of Plenty	Prime	Year_of_Plenty	F		Fate														"top card can be deployed immediately for -3 resources if ship, hero, support (minimum 0) w/o issuing command"
Y'Mvalla	Prime	Y'Mvalla	F	S	Planet	"Forest, Homeworld, Restricted"	3						2	2	3	2	9	1	"Homeworld, Forest Combat 2/2, Power 3.  Limited Combat: issue 3 commands to end combat in own star system and not Homeworld"
You're Mine Now	Prime	You're_Mine_Now	C		Tactical		1	3	1										cancel card or game effect played by defending player
Zulania Serinius	Prime	Zulania_Serinius	C	D	Hero	"Dysori, Explore 1, Pilot"	4		2	0	2	1							Explore:1  add +1 to ship's Move
Zy'pul	Prime	Zy'pul	C	S	Hero	"Diplomat, Scientist, Soven"	5		3	1	3	3							move target ship with resource cost 4 or less into your fleet
